"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Religionszugehörigkeit","evangelisch","2016","04 Schwabing - West","14.2","9829","69407","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","05 Au - Haidhausen","12.4","7657","61999","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","06 Sendling","11.3","4674","41230","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","07 Sendling - Westpark","11.1","6582","59174","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","08 Schwanthalerhöhe","10","3017","30282","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","09 Neuhausen - Nymphenburg","12.8","12701","99538","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","10 Moosach","9.9","5345","53859","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","11 Milbertshofen - Am Hart","8.5","6486","76255","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","12 Schwabing - Freimann","12.1","9370","77188","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","13 Bogenhausen","13.3","11603","87164","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","14 Berg am Laim","9.3","4260","45655","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","15 Trudering - Riem","11.9","8509","71448","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","16 Ramersdorf - Perlach","9.3","10541","113898","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","17 Obergiesing - Fasangarten","10.2","5601","54784","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","18 Untergiesing - Harlaching","13.3","7167","54050","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","12.6","12082","96200","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","20 Hadern","11.5","5804","50567","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","21 Pasing - Obermenzing","13.8","10291","74432","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","22 Aubing - Lochhausen - Langwied","10.6","4828","45571","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","23 Allach - Untermenzing","12.4","3992","32248","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","24 Feldmoching - Hasenbergl","9.6","5904","61764","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","25 Laim","11.5","6454","56335","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","Stadt München","11.9","181600","1521678","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","01 Altstadt - Lehel","12.8","2710","21122","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","02 Ludwigsvorstadt - Isarvorstadt","11.7","6333","54049","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","03 Maxvorstadt","13.9","7480","53743","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","04 Schwabing - West","14.5","9922","68527","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","05 Au - Haidhausen","12.8","7858","61495","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","06 Sendling","11.6","4754","40879","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","07 Sendling - Westpark","11.4","6665","58398","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","08 Schwanthalerhöhe","10.2","3086","30381","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","09 Neuhausen - Nymphenburg","13","12830","98702","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","10 Moosach","10.2","5424","53261","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","11 Milbertshofen - Am Hart","8.8","6634","75488","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","12 Schwabing - Freimann","12.6","9420","75020","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","13 Bogenhausen","13.8","11862","85947","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","14 Berg am Laim","9.5","4288","45035","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","15 Trudering - Riem","12.2","8516","69830","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","16 Ramersdorf - Perlach","9.6","10831","112371","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","17 Obergiesing - Fasangarten","10.6","5765","54402","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","18 Untergiesing - Harlaching","13.6","7236","53377","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","13.1","12290","93602","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","20 Hadern","11.8","5913","50257","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","21 Pasing - Obermenzing","14.1","10339","73320","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","22 Aubing - Lochhausen - Langwied","11","4813","43682","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","23 Allach - Untermenzing","12.8","4077","31882","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","24 Feldmoching - Hasenbergl","9.8","6012","61534","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2015","25 Laim","11.8","6542","55374","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2014","Stadt München","12.3","183714","1490681","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2014","01 Altstadt - Lehel","13.1","2722","20806","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2014","02 Ludwigsvorstadt - Isarvorstadt","12.3","6432","52177","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
