"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Religionszugehörigkeit","evangelisch","2007","16 Ramersdorf - Perlach","11.8","12185","103447","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2007","17 Obergiesing - Fasangarten","12.3","5879","47791","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2007","18 Untergiesing - Harlaching","15.7","7688","48990","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2007","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","16","13146","82283","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2007","20 Hadern","14","6458","46059","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2007","21 Pasing - Obermenzing","16.3","10554","64773","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2007","22 Aubing - Lochhausen - Langwied","13","4958","38091","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2007","23 Allach - Untermenzing","15.1","4260","28165","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2007","24 Feldmoching - Hasenbergl","12.2","6791","55475","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2007","25 Laim","13.6","6868","50600","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","Stadt München","14.3","189199","1326206","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","01 Altstadt - Lehel","15.8","2981","18876","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","02 Ludwigsvorstadt - Isarvorstadt","14","6397","45736","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","03 Maxvorstadt","16.3","7508","46058","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","04 Schwabing - West","17","10120","59553","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","05 Au - Haidhausen","14.6","7944","54382","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","06 Sendling","13.3","4939","37146","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","07 Sendling - Westpark","13.4","6840","50903","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","08 Schwanthalerhöhe","10.8","2818","26103","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","09 Neuhausen - Nymphenburg","15.2","12856","84604","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","10 Moosach","12.8","6094","47754","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","11 Milbertshofen - Am Hart","11.1","7458","66992","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","12 Schwabing - Freimann","15.4","9616","62430","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","13 Bogenhausen","16.8","12689","75657","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","14 Berg am Laim","11.4","4454","39006","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","15 Trudering - Riem","14.7","7928","53915","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","16 Ramersdorf - Perlach","12","12358","102689","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","17 Obergiesing - Fasangarten","12.4","5808","47007","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","18 Untergiesing - Harlaching","15.9","7626","48075","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","16.2","13075","80701","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","20 Hadern","14.2","6384","44993","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","21 Pasing - Obermenzing","16.4","10465","63763","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","22 Aubing - Lochhausen - Langwied","13.1","4960","37857","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","23 Allach - Untermenzing","15.1","4189","27730","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","24 Feldmoching - Hasenbergl","12.5","6781","54245","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2006","25 Laim","13.8","6911","50028","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","Stadt München","14.2","183190","1288307","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","01 Altstadt - Lehel","15.8","2948","18631","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","02 Ludwigsvorstadt - Isarvorstadt","13.6","5980","43945","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","03 Maxvorstadt","16","6765","42201","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","04 Schwabing - West","16.6","9277","56033","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","05 Au - Haidhausen","14.3","7487","52502","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","06 Sendling","13.1","4699","35966","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","07 Sendling - Westpark","13.5","6658","49472","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","08 Schwanthalerhöhe","10.3","2634","25507","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","09 Neuhausen - Nymphenburg","15.1","12400","82156","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","10 Moosach","12.9","6108","47198","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","11 Milbertshofen - Am Hart","11","7133","64612","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","12 Schwabing - Freimann","15.4","9181","59767","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","13 Bogenhausen","16.8","12434","73860","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","14 Berg am Laim","11.5","4407","38334","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","15 Trudering - Riem","15","7624","50990","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","16 Ramersdorf - Perlach","12.1","12305","101820","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","17 Obergiesing - Fasangarten","12.4","5579","45132","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","18 Untergiesing - Harlaching","15.8","7426","46857","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","16.2","12819","79148","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","20 Hadern","14.3","6281","43981","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","21 Pasing - Obermenzing","16.6","10416","62724","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","22 Aubing - Lochhausen - Langwied","13.2","4970","37560","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","23 Allach - Untermenzing","15.2","4187","27586","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","24 Feldmoching - Hasenbergl","12.6","6716","53389","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2005","25 Laim","13.8","6756","48927","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","Stadt München","14.4","183022","1273186","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","01 Altstadt - Lehel","15.7","2851","18210","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","02 Ludwigsvorstadt - Isarvorstadt","13.6","5910","43469","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","03 Maxvorstadt","16.2","6751","41581","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","04 Schwabing - West","16.6","9166","55231","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","05 Au - Haidhausen","14.1","7230","51383","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","06 Sendling","13.2","4694","35691","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","07 Sendling - Westpark","13.7","6653","48669","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","08 Schwanthalerhöhe","10.3","2623","25369","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","09 Neuhausen - Nymphenburg","15.1","12395","81921","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","10 Moosach","13.3","6223","46856","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","11 Milbertshofen - Am Hart","11.3","7156","63076","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","12 Schwabing - Freimann","15.5","9247","59602","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","13 Bogenhausen","17.1","12516","72982","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","14 Berg am Laim","11.7","4455","38133","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","15 Trudering - Riem","15.2","7430","48914","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","16 Ramersdorf - Perlach","12.3","12425","100844","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","17 Obergiesing - Fasangarten","12.5","5568","44473","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","18 Untergiesing - Harlaching","15.9","7408","46462","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","16.4","12830","78057","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","20 Hadern","14.5","6313","43396","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","21 Pasing - Obermenzing","16.7","10380","62081","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","22 Aubing - Lochhausen - Langwied","13.3","5013","37595","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","23 Allach - Untermenzing","15.2","4166","27374","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","24 Feldmoching - Hasenbergl","12.8","6793","52958","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2004","25 Laim","14","6825","48841","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","Stadt München","14.5","184096","1267813","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","01 Altstadt - Lehel","15.7","2857","18159","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","02 Ludwigsvorstadt - Isarvorstadt","13.3","5824","43637","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","03 Maxvorstadt","16.3","6780","41502","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","04 Schwabing - West","16.8","9125","54351","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","05 Au - Haidhausen","13.9","7201","51636","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","06 Sendling","13.3","4686","35113","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","07 Sendling - Westpark","13.8","6715","48564","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","08 Schwanthalerhöhe","10","2543","25328","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","09 Neuhausen - Nymphenburg","15.3","12483","81661","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","10 Moosach","13.6","6339","46546","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","11 Milbertshofen - Am Hart","11.6","7190","61886","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","12 Schwabing - Freimann","15.6","9413","60215","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","13 Bogenhausen","17.2","12597","73070","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","14 Berg am Laim","11.8","4421","37615","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","15 Trudering - Riem","15.1","7240","47919","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","16 Ramersdorf - Perlach","12.6","12728","100724","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","17 Obergiesing - Fasangarten","12.5","5610","44761","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","18 Untergiesing - Harlaching","16.1","7499","46707","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","16.7","12973","77850","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","20 Hadern","14.9","6372","42823","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","21 Pasing - Obermenzing","16.8","10357","61509","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","22 Aubing - Lochhausen - Langwied","13.6","5111","37566","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","23 Allach - Untermenzing","15.5","4169","26977","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","24 Feldmoching - Hasenbergl","13.1","6913","52961","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2003","25 Laim","14.3","6948","48708","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","Stadt München","14.8","186889","1264309","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","01 Altstadt - Lehel","16","2918","18193","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","02 Ludwigsvorstadt - Isarvorstadt","13.6","6003","44059","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","03 Maxvorstadt","16.5","6873","41606","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","04 Schwabing - West","17.2","9357","54272","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","05 Au - Haidhausen","14","7265","52000","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","06 Sendling","13.5","4741","35102","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","07 Sendling - Westpark","14.1","6835","48448","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","08 Schwanthalerhöhe","10.3","2574","25078","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","09 Neuhausen - Nymphenburg","15.3","12515","81947","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","10 Moosach","13.8","6379","46333","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","11 Milbertshofen - Am Hart","12.1","7448","61655","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","12 Schwabing - Freimann","16","9603","60060","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","13 Bogenhausen","17.7","12826","72429","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","14 Berg am Laim","11.8","4466","37777","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","15 Trudering - Riem","15.3","7238","47186","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","16 Ramersdorf - Perlach","12.9","12907","100129","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","17 Obergiesing - Fasangarten","12.8","5706","44616","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","18 Untergiesing - Harlaching","16.5","7649","46495","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","17","13217","77659","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","20 Hadern","15.3","6523","42563","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","21 Pasing - Obermenzing","17.1","10336","60616","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","22 Aubing - Lochhausen - Langwied","13.9","5199","37532","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","23 Allach - Untermenzing","15.5","4177","26903","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","24 Feldmoching - Hasenbergl","13.4","7089","53010","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2002","25 Laim","14.5","7042","48606","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","Stadt München","15","189553","1260597","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","01 Altstadt - Lehel","16","2945","18462","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","02 Ludwigsvorstadt - Isarvorstadt","13.6","6057","44484","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","03 Maxvorstadt","16.7","7037","42159","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","04 Schwabing - West","17.3","9454","54580","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","05 Au - Haidhausen","14.2","7362","51947","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","06 Sendling","13.8","4791","34820","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","07 Sendling - Westpark","14.4","6983","48608","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","08 Schwanthalerhöhe","10.4","2582","24905","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","09 Neuhausen - Nymphenburg","15.4","12645","82235","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","10 Moosach","13.9","6436","46174","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","11 Milbertshofen - Am Hart","12.6","7661","61034","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","12 Schwabing - Freimann","16.2","9626","59392","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","13 Bogenhausen","18.1","13012","71716","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","14 Berg am Laim","12.1","4537","37552","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","15 Trudering - Riem","15.6","7102","45403","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2001","16 Ramersdorf - Perlach","13.2","13222","100387","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
